CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LON,LAT,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
48015010,SP,A.Vasquez Cobo,Leticia,Amazonas,84,-69.94,-4.19,87.9,88.1,87.5,87.9,87.9,87.7,85.6,84.7,84.8,85.6,86.7,88.2,86.9
23085030,CO,Alejandria,Alejandria,Antioquia,1660,-75.14,6.38,88.4,88.3,88.5,88.4,88.6,88.3,87.1,87.2,88.1,88.2,88.8,88.7,88.3
26195020,CO,Ita Andes,Andes,Antioquia,1180,-75.88,5.69,79.3,78.8,79.5,80.5,82.5,82.3,81.0,81.3,82.1,81.4,82.3,82.3,81.1
27025030,CO,Anori,Anori,Antioquia,1610,-75.15,7.07,89.8,89.9,90.2,90.1,89.0,86.4,84.0,84.7,87.0,89.0,90.5,90.8,88.4
12015020,AM,Uniban,Apartado,Antioquia,23,-76.65,7.83,85.7,84.1,83.8,85.5,87.7,88.0,87.6,87.6,87.2,86.8,87.2,87.5,86.6
12045010,CP,Arboletes,Arboletes,Antioquia,4,-76.42,8.85,81.0,79.5,79.0,81.9,84.7,84.5,83.9,84.1,84.3,83.3,83.3,82.5,82.8
27015150,CO,Progreso El Hda,Barbosa,Antioquia,1500,-75.40,6.41,81.8,81.0,81.1,83.2,83.8,82.5,80.8,80.9,81.7,82.7,83.3,82.7,82.2
27015090,CO,Tulio Ospina,Bello,Antioquia,1438,-75.55,6.32,76.9,74.4,75.0,77.7,78.4,76.3,73.7,73.3,76.7,79.6,80.2,79.3,76.8
26225040,CO,Piunti Hda,Buritica,Antioquia,1650,-75.91,6.73,79.3,78.9,78.8,81.6,82.8,82.0,80.4,80.8,81.7,83.6,83.8,82.7,81.3
27015260,AM,Salada La,Caldas,Antioquia,1680,-75.62,6.05,84.1,82.7,84.3,85.9,86.8,85.1,83.5,81.9,84.1,85.3,86.3,86.3,84.5
11115020,CO,Canasgordas,Canasgordas,Antioquia,1200,-76.03,6.76,85.3,84.4,84.0,85.7,86.2,85.9,85.1,85.0,85.4,86.4,87.3,86.0,85.6
12015070,SP,Apto Los Cedros,Carepa,Antioquia,19,-76.72,7.82,82.2,81.7,81.5,83.0,84.1,83.6,83.2,83.1,83.0,83.1,83.5,83.3,82.9
12015060,CO,Tulenapa,Carepa,Antioquia,30,-76.66,7.77,85.4,84.5,84.3,86.1,88.2,88.5,88.2,88.3,87.5,87.1,87.8,88.1,87.0
26255040,CP,Cacaoteras del Diq,Caucasia,Antioquia,55,-75.12,7.98,78.9,76.9,76.6,79.2,82.1,82.4,81.9,82.0,82.9,83.4,82.7,81.7,81.0
27045020,CO,Caseri,Caucasia,Antioquia,400,-74.93,7.81,79.9,78.6,78.4,80.5,81.9,82.1,81.1,81.9,81.5,81.8,83.2,82.2,81.3
12015090,CO,Palmera La,Chigorodo,Antioquia,58,-76.61,7.54,81.4,77.5,78.5,81.7,82.6,83.1,82.9,83.9,83.8,84.3,82.9,84.4,82.3
11025010,CO,Mansa La,Ciudad Bolivar,Antioquia,2100,-76.08,5.88,87.4,87.4,87.5,88.6,88.6,87.8,86.6,86.4,87.8,88.4,89.0,88.8,87.9
26215010,CO,Concordia,Concordia,Antioquia,1904,-75.92,6.04,81.0,79.6,79.5,82.5,83.4,81.7,78.9,79.2,81.6,83.5,85.3,84.3,81.8
26175040,CO,Tunez Hda,Fredonia,Antioquia,530,-75.65,5.80,74.8,72.0,72.8,76.9,79.9,79.3,77.0,75.7,78.7,81.2,81.1,79.9,77.5
11115040,CO,Musinga,Frontino,Antioquia,1330,-76.19,6.79,86.2,85.9,85.7,87.3,88.0,87.9,87.5,87.5,87.8,87.2,87.7,87.2,87.3
26195030,CO,Jardin El,Jardin,Antioquia,2005,-75.80,5.59,83.9,83.6,84.3,86.3,87.1,86.1,83.7,83.5,85.5,86.1,87.6,86.1,85.3
26195010,CO,Miguel Valencia,Jardin,Antioquia,1570,-75.85,5.53,78.1,76.7,76.9,79.3,81.1,79.0,77.6,77.9,80.2,81.2,80.3,79.2,79.0
26185020,CO,Mesopotamia,La Union,Antioquia,2314,-75.32,5.89,87.3,87.1,87.4,87.7,87.2,85.0,83.7,83.4,85.5,87.1,87.7,87.8,86.5
27015070,SP,A.Olaya Herrera,Medellin,Antioquia,1490,-75.59,6.22,66.0,65.2,67.1,70.1,69.8,66.2,62.6,62.8,67.3,71.1,71.7,69.9,67.5
12015010,CO,Villarteaga,Mutata,Antioquia,132,-76.48,7.35,86.6,86.8,85.8,87.6,87.9,87.9,87.9,88.0,88.0,89.3,89.0,87.9,87.7
12025030,CO,Mellito El,Necocli,Antioquia,10,-76.67,8.54,86.0,84.5,83.9,85.1,87.0,86.9,86.7,87.3,87.0,86.7,87.1,87.4,86.3
23085110,CO,Penol El,Penol,Antioquia,1956,-75.24,6.21,86.4,86.0,86.4,86.8,85.8,82.6,81.7,82.8,84.7,86.5,87.2,87.3,85.5
23095010,CP,Apto Pto Berrio,Puerto Berrio,Antioquia,150,-74.41,6.47,76.6,76.2,78.2,80.6,80.6,80.0,79.0,78.7,80.2,81.0,81.3,79.8,79.4
23175020,SS,Apto Otu,Remedios,Antioquia,718,-74.72,7.01,85.4,84.5,85.7,86.5,84.8,85.3,83.8,84.3,85.8,85.7,86.2,86.4,85.4
23085200,SP,A.J M Cordova,Rionegro,Antioquia,2073,-75.43,6.17,80.2,79.7,80.4,81.5,80.7,78.1,75.7,75.8,78.3,82.1,83.2,82.1,79.8
23085040,AM,Selva La,Rionegro,Antioquia,2090,-75.41,6.13,79.7,79.6,80.3,80.6,80.5,79.3,78.0,78.1,78.7,80.9,81.4,80.7,79.9
23085220,CP,San Carlos,San Carlos,Antioquia,1113,-75.04,6.16,85.9,84.7,85.3,86.5,85.2,82.2,80.4,80.0,83.7,86.1,87.8,87.6,84.6
23085140,CO,San Francisco,San Francisco,Antioquia,1306,-75.10,5.96,89.0,88.7,89.1,89.2,89.4,88.8,88.0,88.2,89.5,89.8,90.1,90.2,89.3
23085210,CP,Violetas Las,San Rafael,Antioquia,1016,-75.00,6.35,85.6,85.2,85.8,86.4,85.7,85.1,83.9,83.5,84.7,86.7,87.8,87.0,85.6
23085080,CP,Nus Gja Exp El,San Roque,Antioquia,835,-74.84,6.49,82.0,80.1,81.3,83.7,84.5,83.1,80.7,80.5,83.0,84.9,85.9,84.9,82.9
23085160,CO,Corrientes,San Vicente,Antioquia,1950,-75.25,6.31,83.5,83.3,84.6,85.6,83.7,82.4,80.5,80.0,82.0,84.1,85.4,84.6,83.2
27015110,CO,Aragon,Santa Rosa de Osos,Antioquia,2600,-75.83,6.53,86.3,86.9,86.6,87.0,87.4,86.3,85.4,85.2,85.8,87.0,87.6,86.8,86.5
26225030,AM,Cotove Hda,Santafe de Antioquia,Antioquia,530,-75.83,6.53,67.5,66.0,68.4,73.7,78.4,78.8,77.1,75.1,77.5,80.0,79.3,75.0,75.2
27015190,CO,Guayabito,Santo Domingo,Antioquia,1700,-75.15,6.54,83.7,82.6,82.8,85.2,85.9,83.9,81.8,82.0,84.6,86.0,86.2,85.8,84.2
23075010,CP,Rio Claro,Sonson,Antioquia,449,-74.85,5.86,80.7,80.2,80.6,81.9,81.2,80.2,74.9,75.4,78.9,82.3,84.2,83.2,80.5
26175030,CP,Nacional Gja La,Tamesis,Antioquia,1151,-75.69,5.72,81.4,79.1,79.9,83.1,85.7,85.3,82.4,80.5,83.4,85.9,86.0,85.0,83.2
26235030,CO,Matanzas,Toledo,Antioquia,500,-75.67,7.04,70.7,66.9,69.5,75.6,81.1,82.5,81.7,82.1,83.5,83.2,82.1,78.1,78.3
12025040,CO,Turbo,Turbo,Antioquia,37,-76.72,8.09,85.8,85.3,85.4,86.1,87.5,87.1,86.3,87.2,86.4,86.8,87.2,87.5,86.7
11075010,CO,Honda La,Urrao,Antioquia,1850,-76.16,6.36,91.4,91.1,90.6,90.6,90.5,90.7,90.5,90.9,91.5,91.6,91.0,92.0,91.0
11075020,CO,Urrao,Urrao,Antioquia,1850,-76.14,6.32,87.7,87.6,87.6,88.3,88.0,87.9,87.5,87.3,88.6,89.2,89.2,88.8,88.2
26255020,CP,Sta Isabel,Valdivia,Antioquia,1200,-75.44,7.16,89.3,88.7,89.3,89.9,89.8,90.2,88.9,88.9,88.7,90.2,90.7,90.4,89.6
23105030,CO,Vegachi,Vegachi,Antioquia,995,-74.80,6.77,86.9,85.9,86.6,88.4,88.3,87.1,85.6,85.9,87.5,88.8,89.7,88.9,87.5
26205020,CP,Rosario El,Venecia,Antioquia,1600,-75.72,5.93,71.8,70.0,69.1,75.7,78.4,73.8,68.9,70.0,74.5,79.5,79.7,75.7,73.9
37055010,SP,Apto Arauca,Arauca,Arauca,128,-70.74,7.07,70.6,66.1,65.9,75.8,84.4,86.7,86.7,85.6,84.6,84.6,83.6,78.6,79.5
37045010,CO,Saravena,Saravena,Arauca,148,-71.89,6.95,78.5,79.2,78.9,82.7,85.4,86.7,86.4,85.9,84.8,84.2,83.4,83.0,83.7
36025010,CO,Tame,Tame,Arauca,350,-71.75,6.46,79.9,80.7,80.2,83.3,84.3,84.9,85.5,85.7,85.5,84.9,84.2,83.2,83.5
29045120,CP,Flores Las,Barranquilla,Atlantico,2,-74.82,11.04,82.0,81.8,81.8,82.6,83.1,82.9,82.7,83.1,82.6,83.3,82.6,82.4,82.6
29045110,CO,Juan de Acosta,Juan de Acosta,Atlantico,20,-75.05,10.85,79.7,78.7,79.3,78.5,82.0,83.0,81.9,82.9,85.4,85.9,84.7,81.3,82.0
29035080,CP,Normal Manati,Manati,Atlantico,10,-74.95,10.45,80.8,79.7,78.8,80.0,82.4,82.2,82.4,82.3,83.2,83.7,83.7,82.3,81.8
29035070,CP,Repelon,Repelon,Atlantico,10,-75.12,10.50,71.9,69.8,69.5,72.3,78.2,77.8,76.7,78.5,80.7,82.0,80.7,75.2,75.9
29045020,SP,A.E Cortissoz,Soledad,Atlantico,14,-74.78,10.88,78.6,77.6,77.5,78.9,81.1,81.7,81.0,81.6,83.6,85.6,83.9,80.8,80.9
21205790,SP,Apto El Dorado,Bogota DC,Bogota DC,2547,-74.15,4.71,78.7,79.0,81.0,82.1,81.9,79.0,77.5,77.2,78.8,82.5,83.4,81.0,80.2
21206260,CO,C.Univ.Agrop-Udca,Bogota DC,Bogota DC,2570,-74.05,4.80,89.1,89.8,90.7,91.1,91.6,91.1,90.4,89.8,89.9,90.7,90.9,88.8,90.3
21205520,CP,Eldorado Didactica,Bogota DC,Bogota DC,2546,-74.15,4.70,77.4,78.0,79.3,81.0,80.3,76.2,75.4,76.7,77.8,81.2,81.9,79.6,78.7
21206050,CP,Esc Col Ingenieria,Bogota DC,Bogota DC,2650,-74.05,4.79,78.1,77.5,79.6,81.1,81.1,80.8,80.0,79.9,79.4,80.8,81.4,80.2,79.9
21205710,CO,Jardin Botanico,Bogota DC,Bogota DC,2552,-74.10,4.67,82.7,84.0,85.3,85.4,84.6,83.1,82.0,82.0,82.7,85.5,85.4,85.8,84.0
35025070,CO,Taques Los,Bogota DC,Bogota DC,3150,-74.19,4.20,93.3,92.6,93.0,94.5,94.6,95.4,95.5,95.4,94.6,93.7,93.4,93.3,94.2
21206220,CP,Univ Nacional,Bogota DC,Bogota DC,2556,-74.09,4.64,76.1,77.7,79.1,79.3,78.2,76.4,75.4,75.2,76.5,77.1,79.8,78.2,77.6
21206230,CO,Vegas Las Hda,Bogota DC,Bogota DC,2543,-74.15,4.66,85.2,84.9,85.2,85.3,85.1,85.5,85.5,85.1,85.4,85.4,85.6,85.2,85.2
21205580,CO,Venado Oro Vivero,Bogota DC,Bogota DC,2725,-74.06,4.60,79.9,80.1,81.0,81.6,82.6,82.2,82.0,81.0,80.0,81.8,83.2,81.0,81.3
29035170,CP,Sincerin,Arjona,Bolivar,10,-75.28,10.14,80.7,79.6,81.1,81.7,84.4,84.1,83.9,83.9,84.9,86.7,85.3,83.7,83.3
14015020,SP,Apto Rafael Nunez,Cartagena,Bolivar,2,-75.52,10.45,80.9,79.5,79.5,81.0,82.1,81.6,81.2,81.7,81.7,82.6,82.9,82.1,81.4
14015030,CP,Esc Naval Cioh,Cartagena,Bolivar,1,-75.54,10.39,82.5,81.0,82.2,83.4,84.9,84.5,84.3,85.0,84.8,85.7,85.8,84.7,84.0
29015020,AM,Carmen de Bolivar,El Carmen de Bolivar,Bolivar,152,-75.11,9.72,73.0,71.0,71.8,73.5,76.8,76.4,75.2,76.1,79.3,80.0,79.3,76.4,75.6
29015030,CO,Guamo El,El Guamo,Bolivar,75,-74.97,10.04,71.1,68.8,69.5,74.3,79.3,79.7,77.7,78.8,80.9,83.5,82.4,77.1,76.9
25025100,CP,Apto Baracoa,Magangue,Bolivar,18,-74.85,9.28,75.5,73.8,73.7,75.5,80.3,81.2,79.9,80.5,82.7,83.6,83.7,80.0,79.2
29035040,CP,Nueva Florida,Maria La Baja,Bolivar,13,-75.35,9.94,82.6,81.9,80.4,82.6,84.9,85.5,85.1,85.4,86.5,86.8,86.3,85.0,84.3
29035030,CO,Presa Ay Grande,Maria La Baja,Bolivar,60,-75.33,9.88,79.6,77.9,76.8,78.8,82.1,82.9,82.3,82.7,83.3,84.1,84.2,80.4,81.2
29035110,CO,San Pablo,Maria La Baja,Bolivar,20,-75.26,10.04,78.5,75.2,75.3,78.1,82.6,82.3,81.3,83.0,84.3,85.2,85.3,82.4,81.0
