CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LON,LAT,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
48015010,SP,A.Vasquez Cobo,Leticia,Amazonas,84,-69.94,-4.19,4.26,4.10,4.22,4.73,4.73,4.91,6.05,6.38,5.86,5.51,5.16,4.54,5.04
23085030,CO,Alejandria,Alejandria,Antioquia,1660,-75.14,6.38,4.70,4.48,3.76,3.82,4.65,4.76,6.05,6.47,5.25,4.42,4.23,4.28,4.74
26195020,CO,Ita Andes,Andes,Antioquia,1180,-75.88,5.69,5.29,5.42,4.35,3.87,4.05,4.59,5.52,5.07,4.19,3.96,4.36,4.67,4.61
27025030,CO,Anori,Anori,Antioquia,1610,-75.15,7.07,4.52,3.90,3.17,2.93,3.74,5.08,5.92,5.39,4.02,3.34,3.47,3.74,4.10
12015020,AM,Uniban,Apartado,Antioquia,23,-76.65,7.83,5.24,4.95,4.02,3.64,3.92,3.19,4.18,4.33,3.97,4.39,4.55,4.49,4.24
12045010,CP,Arboletes,Arboletes,Antioquia,4,-76.42,8.85,7.10,6.90,6.09,5.05,4.65,5.10,5.17,5.22,4.75,4.84,5.91,6.30,5.59
27015090,CO,Tulio Ospina,Bello,Antioquia,1438,-75.55,6.32,6.00,5.33,5.15,4.37,4.82,5.84,6.70,6.18,5.26,4.28,4.65,5.30,5.32
26225040,CO,Piunti Hda,Buritica,Antioquia,1650,-75.91,6.73,4.23,4.07,3.65,2.88,2.98,2.84,3.94,4.19,3.41,2.77,2.86,3.15,3.41
27015260,AM,Salada La,Caldas,Antioquia,1680,-75.62,6.05,4.52,4.63,3.90,2.99,3.37,4.02,5.21,4.97,4.00,3.54,3.58,3.76,4.04
11115020,CO,Canasgordas,Canasgordas,Antioquia,1200,-76.03,6.76,5.41,5.23,4.67,3.64,3.67,4.32,4.84,4.49,3.96,3.64,4.06,4.47,4.37
12015070,SP,Apto Los Cedros,Carepa,Antioquia,19,-76.72,7.82,5.75,5.42,4.59,4.21,3.88,3.79,4.24,4.40,4.35,4.73,4.75,4.71,4.57
12015060,CO,Tulenapa,Carepa,Antioquia,30,-76.66,7.77,5.89,5.40,4.41,4.01,4.21,4.21,4.77,4.75,4.53,4.94,5.00,5.23,4.78
